LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
RHO	RHO	DENSI	Density	Dichte	2017.07.06 08:56:49										
ROL	ROL	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
S	S	TIME	Time	Zeit	2017.07.06 08:56:49										
ST	ST	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
STD	STD	TIME	Time	Zeit	2017.07.06 08:56:49										
TAG	TAG	TIME	Time	Zeit	2017.07.06 08:56:49										
TC3	TC3	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
TCM	TCM	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
TES	TES	MAGNFD	Magnet. Flux Density	Magnet. Flußdichte	2017.07.06 08:56:49										
TEU	TEU	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
TH	TH	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
TJH	TJH	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
TM3	TM3	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
TO	TO	MASS	Mass	Masse	2017.07.06 08:56:49										
TON	TON	MASS	Mass	Masse	2017.07.06 08:56:49										
TST	TST	TIME	Time	Zeit	2017.07.06 08:56:49										
Tmt	Tmt	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
ToS	ToS	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
Tot	Tot	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
UGL	UGL	DENSI	Density	Dichte	2017.07.06 08:56:49										
V	V	VOLTAG	Electrical Tension	Elektr. Spannung	2017.07.06 08:56:49										
V%	V%	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
V%O	V%O	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
V01	V01	CONDUC	Conductivity	Leifähigkeit	2017.07.06 08:56:49										
V02	V02	ACBAC	Acid/Base capacity	Säure/Basekapazität	2017.07.06 08:56:49										
VAL	VAL	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
VPB	VPB	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
VPM	VPM	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
VPT	VPT	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
W	W	POWER	Power	Leistung	2017.07.06 08:56:49										
