LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
04	04	ME	Bijelo Polje	Bijelo Polje	2018.06.19 05:33:47										
04	04	MM	Mandalay	Mandalay	2018.06.19 05:33:47										
04	04	MR	Gorgol	Gorgol	2018.06.19 05:33:47										
04	04	MT	Birkirkara	Birkirkara	2018.06.19 05:33:47										
04	04	MY	Melaka	Malakka	2018.06.19 05:33:47										
04	04	NO	Hedmark	Hedmark	2018.06.19 05:33:47										
04	04	NR	Anibare	Anibare	2018.06.19 05:33:47										
04	04	PL	Kujawsko-Pomorskie	Kujawien-Pommern	2018.06.19 05:33:47										
04	04	RS	Južnobanatski distr.	Dst. Juznobanatski	2018.06.19 05:33:47										
04	04	RU	Highlands-Altay Rep.	Republik Altai	2018.06.19 05:33:47										
04	04	RW	Western	Western	2018.06.19 05:33:47										
04	04	SA	Eastern Province	Östliche Provinz	2018.06.19 05:33:47										
04	04	SM	Faetano	Faetano	2018.06.19 05:33:47										
04	04	TO	Tongatapu	Tongatapu	2018.06.19 05:33:47										
04	04	TR	Agri	Agri	2018.06.19 05:33:47										
04	04	TZ	Iringa	Iringa	2018.06.19 05:33:47										
04	04	VN	Cao Bằng	Cao Bang	2018.06.19 05:33:47										
04	04	ZM	Luapula	Luapula	2018.06.19 05:33:47										
040	040	LV	Jaunpils	Jaunpils	2018.06.19 05:33:47										
040	040	SI	Izola - Isola	Izola - Isola	2018.06.19 05:33:47										
041	041	LV	Jelgava	Jelgava	2018.06.19 05:33:47										
041	041	MN	Hövsgöl	Chöwsgöl	2018.06.19 05:33:47										
041	041	SI	Jesenice	Jesenice	2018.06.19 05:33:47										
042	042	LV	Jēkabpils	Jekabpils	2018.06.19 05:33:47										
042	042	SI	Jursinci	Jursinci	2018.06.19 05:33:47										
043	043	LV	Kandava	Kandava	2018.06.19 05:33:47										
043	043	MN	Hovd	Chovd	2018.06.19 05:33:47										
043	043	SI	Kamnik	Kamnik	2018.06.19 05:33:47										
044	044	LV	Kārsava	Karsava	2018.06.19 05:33:47										
044	044	SI	Kanal	Kanal	2018.06.19 05:33:47										
045	045	LV	Kocēni	Koceni	2018.06.19 05:33:47										
045	045	SI	Kidricevo	Kidricevo	2018.06.19 05:33:47										
046	046	LV	Koknese	Koknese	2018.06.19 05:33:47										
046	046	MN	Uvs	Uws	2018.06.19 05:33:47										
046	046	SI	Kobarid	Kobarid	2018.06.19 05:33:47										
047	047	LV	Krāslava	Kraslava	2018.06.19 05:33:47										
047	047	MN	Töv	Töw	2018.06.19 05:33:47										
047	047	SI	Kobilje	Kobilje	2018.06.19 05:33:47										
048	048	LV	Krimulda	Krimulda	2018.06.19 05:33:47										
048	048	SI	Kocevje	Kocevje	2018.06.19 05:33:47										
049	049	LV	Krustpils	Krustpils	2018.06.19 05:33:47										
049	049	MN	Selenge	Selenge	2018.06.19 05:33:47										
049	049	SI	Komen	Komen	2018.06.19 05:33:47										
05	05	AD	Ordino	Ordino	2018.06.19 05:33:47										
05	05	AL	Gjirokastër	Gjirokastra	2018.06.19 05:33:47										
05	05	AR	Entre Rios	Entre Rios	2018.06.19 05:33:47										
05	05	BD	Bagerhat	Bagerhat	2018.06.19 05:33:47										
05	05	BG	Vidin	Widin	2018.06.19 05:33:47										
05	05	CO	ANTIOQUIA	ANTIOQUIA	2018.06.19 05:33:47										
05	05	CU	Villa Clara	Villa Clara	2018.06.19 05:33:47										
05	05	CY	Paphos	Paphos	2018.06.19 05:33:47										
05	05	DM	Saint John	Saint John	2018.06.19 05:33:47										
05	05	DO	Dajabón	Dajabon	2018.06.19 05:33:47										
05	05	DZ	Batna	Batna	2018.06.19 05:33:47										
05	05	ES	Avila	Avila	2018.06.19 05:33:47										
05	05	FI	Kainuu	Kainuu	2018.06.19 05:33:47										
05	05	FR	Alpes (Hautes)	Alpes (Hautes)	2018.06.19 05:33:47										
05	05	GD	Saint Mark	Saint Mark	2018.06.19 05:33:47										
05	05	HR	Varazdinska	Varazdinska 	2018.06.19 05:33:47										
05	05	IR	Ilam	Ilam	2018.06.19 05:33:47										
05	05	JM	Saint Mary	Saint Mary	2018.06.19 05:33:47										
05	05	JP	Akita	Akita	2018.06.19 05:33:47										
05	05	KE	Elgeyo/Marakwet	Elgeyo/Marakwet	2018.06.19 05:33:47										
05	05	KN	St James Windward	St James Windward	2018.06.19 05:33:47										
05	05	KP	South Hwanghae	Süd-Hwanghae	2018.06.19 05:33:47										
05	05	LI	Planken	Planken	2018.06.19 05:33:47										
05	05	MA	Béni-Mellal-Khénifra		2018.06.19 05:33:47										
05	05	ME	Budva	Budva	2018.06.19 05:33:47										
05	05	MM	Tanintharyi	Tanintharyi	2018.06.19 05:33:47										
05	05	MR	Brakna	Brakna	2018.06.19 05:33:47										
05	05	MT	Birżebbuġa	Birzebbuga	2018.06.19 05:33:47										
05	05	MY	Negeri Sembilan	Negeri Sembilan	2018.06.19 05:33:47										
05	05	NO	Oppland	Oppland	2018.06.19 05:33:47										
05	05	NR	Baiti	Baiti	2018.06.19 05:33:47										
05	05	PH	Bicol	Bicol	2018.06.19 05:33:47										
05	05	RS	Zapadnobački distr.	Okrug Zapadna Backa	2018.06.19 05:33:47										
05	05	RU	Dagestan Republic	Republik Dagestan	2018.06.19 05:33:47										
05	05	RW	Southern	Southern	2018.06.19 05:33:47										
05	05	SA	Qassim	Qasim	2018.06.19 05:33:47										
05	05	SM	Fiorentino	Fiorentino	2018.06.19 05:33:47										
05	05	TO	Vavaʻu	Vava'u	2018.06.19 05:33:47										
05	05	TR	Amasya	Amasya	2018.06.19 05:33:47										
05	05	TZ	Kagera	Kagera	2018.06.19 05:33:47										
05	05	UA	Vinnits'ka	Winnyzja	2018.06.19 05:33:47										
05	05	VN	Sơn La	Son La	2018.06.19 05:33:47										
05	05	ZM	Northern	Northern	2018.06.19 05:33:47										
050	050	LV	Kuldīga	Kuldiga	2018.06.19 05:33:47										
050	050	SI	Koper - Capodistria	Koper - Capodistria	2018.06.19 05:33:47										
051	051	LV	Ķegums	Kegums	2018.06.19 05:33:47										
051	051	MN	Sühbaatar	Süchbaatar	2018.06.19 05:33:47										
051	051	SI	Kozje	Kozje	2018.06.19 05:33:47										
052	052	LV	Ķekava	Kekava	2018.06.19 05:33:47										
052	052	SI	Kranj	Kranj	2018.06.19 05:33:47										
053	053	LV	Lielvārde	Lielvarde	2018.06.19 05:33:47										
053	053	MN	Ömnögovĭ	Ömnö-Gobi	2018.06.19 05:33:47										
053	053	SI	Kranjska Gora	Kranjska Gora	2018.06.19 05:33:47										
054	054	LV	Limbaži	Limbazi	2018.06.19 05:33:47										
054	054	SI	Krsko	Krsko	2018.06.19 05:33:47										
055	055	LV	Līgatne	Ligatne	2018.06.19 05:33:47										
055	055	MN	Övörhangay	Övorhangay	2018.06.19 05:33:47										
055	055	SI	Kungota	Kungota	2018.06.19 05:33:47										
056	056	LV	Līvāni	Livani	2018.06.19 05:33:47										
056	056	SI	Kuzma	Kuzma	2018.06.19 05:33:47										
057	057	LV	Lubāna	Lubana	2018.06.19 05:33:47										
057	057	MN	Dzavhan	Dsawchan	2018.06.19 05:33:47										
057	057	SI	Lasko	Lasko	2018.06.19 05:33:47										
058	058	LV	Ludza	Ludza	2018.06.19 05:33:47										
058	058	SI	Lenart	Lenart	2018.06.19 05:33:47										
059	059	LV	Madona	Madona	2018.06.19 05:33:47										
059	059	MN	Dundgovĭ	Dund-Gobi	2018.06.19 05:33:47										
059	059	SI	Lendava - Lendva	Lendava - Lendva	2018.06.19 05:33:47										
06	06	AD	Sant Julià de Lòria	Sant Julia de Loria	2018.06.19 05:33:47										
06	06	AL	Korçë	Korca	2018.06.19 05:33:47										
06	06	AR	Jujuy	Jujuy	2018.06.19 05:33:47										
06	06	BD	Barisal	Barisal	2018.06.19 05:33:47										
06	06	BG	Vratsa	Wraza	2018.06.19 05:33:47										
06	06	CU	Cienfuegos	Cienfuegos	2018.06.19 05:33:47										
06	06	CY	Kyrenia	Kyrenia	2018.06.19 05:33:47										
06	06	DM	Saint Joseph	Saint Joseph	2018.06.19 05:33:47										
06	06	DO	Duarte	Duarte	2018.06.19 05:33:47										
06	06	DZ	Bejaia	Bejaia	2018.06.19 05:33:47										
06	06	ES	Badajoz	Badajoz	2018.06.19 05:33:47										
06	06	FI	Tavastia Proper	Tavastia Proper	2018.06.19 05:33:47										
06	06	FR	Alpes-Maritimes	Alpes-Maritimes	2018.06.19 05:33:47										
06	06	GD	Saint Patrick	Saint Patrick	2018.06.19 05:33:47										
06	06	HR	Koprivnicko-krizevac	Koprivnicko-krizevac	2018.06.19 05:33:47										
06	06	IR	Bushehr	Buschehr	2018.06.19 05:33:47										
06	06	JM	Saint Ann	Saint Ann	2018.06.19 05:33:47										
06	06	JP	Yamagata	Yamagata	2018.06.19 05:33:47										
06	06	KE	Embu	Embu	2018.06.19 05:33:47										
06	06	KN	St John Capisterre	St John Capisterre	2018.06.19 05:33:47										
06	06	KP	North Hwanghae	Nord-Hwanghae	2018.06.19 05:33:47										
06	06	LI	Ruggell	Ruggell	2018.06.19 05:33:47										
06	06	MA	Casablanca-Settat		2018.06.19 05:33:47										
06	06	ME	Cetinje	Cetinje	2018.06.19 05:33:47										
06	06	MM	Yangon	Yangon	2018.06.19 05:33:47										
06	06	MR	Trarza	Trarza	2018.06.19 05:33:47										
06	06	MT	Bormla	Bormla	2018.06.19 05:33:47										
06	06	MY	Pahang	Pahang	2018.06.19 05:33:47										
06	06	NO	Buskerud	Buskerud	2018.06.19 05:33:47										
06	06	NR	Boe	Boe	2018.06.19 05:33:47										
06	06	PH	Western Visayas	Western Visayas	2018.06.19 05:33:47										
06	06	PL	Lubelskie	Lublin	2018.06.19 05:33:47										
06	06	RS	Južnobački district	Distr. Juznobacki	2018.06.19 05:33:47										
06	06	RU	Ingushetija Republic	Repub. Inguschetien	2018.06.19 05:33:47										
06	06	SA	Ha'il	Ha'il	2018.06.19 05:33:47										
06	06	SM	Borgo Maggiore	Borgo Maggiore	2018.06.19 05:33:47										
06	06	TR	Ankara	Ankara	2018.06.19 05:33:47										
06	06	TZ	Pemba North	Pemba-Nord	2018.06.19 05:33:47										
06	06	VN	Yên Bái	Yen Bai	2018.06.19 05:33:47										
06	06	ZM	North-Western	North-Western	2018.06.19 05:33:47										
060	060	LV	Mazsalaca	Mazsalaca	2018.06.19 05:33:47										
060	060	SI	Litija	Litija	2018.06.19 05:33:47										
061	061	LV	Mālpils	Malpils	2018.06.19 05:33:47										
061	061	MN	Dornod	Dornod	2018.06.19 05:33:47										
061	061	SI	Ljubljana	Ljubljana	2018.06.19 05:33:47										
062	062	LV	Mārupe	Marupe	2018.06.19 05:33:47										
